iter	Logloss
0	0.649053033
1	0.608547393
2	0.5734141476
3	0.5412645935
4	0.5164469672
5	0.4917978741
6	0.4715119676
7	0.4544021452
8	0.437049893
9	0.4220881899
10	0.4068883362
11	0.3987699859
12	0.3886576727
13	0.3782255651
14	0.3679092538
15	0.3591226204
16	0.3515604082
17	0.3470788015
18	0.343547105
19	0.3367138877
20	0.3307974332
21	0.3247995798
22	0.319937905
23	0.3177291371
24	0.3131351688
25	0.3089840659
26	0.3048184511
27	0.3019919672
28	0.298940806
29	0.2959419405
30	0.2942806413
31	0.2919236163
32	0.2898838142
33	0.2878073719
34	0.2855908025
35	0.2840157538
36	0.282012944
37	0.2804170286
38	0.2786613957
39	0.2771497268
40	0.2754126074
41	0.2736737816
42	0.2722823646
43	0.2709227425
44	0.2696064571
45	0.2683646231
46	0.2668449656
47	0.2657293
48	0.2646774399
49	0.2636254356
50	0.262568088
51	0.2616589983
52	0.2608843768
53	0.2599700449
54	0.2591978514
55	0.2583019846
56	0.2576947102
57	0.2571555154
58	0.2560446019
59	0.2554102932
60	0.2547998759
61	0.2537230587
62	0.2531466283
63	0.2524751399
64	0.2518901441
65	0.2513295181
66	0.2505214882
67	0.2500089549
68	0.2495012012
69	0.2489073996
70	0.2488354097
71	0.2482974129
72	0.2476160077
73	0.2471637042
74	0.2466541329
75	0.2462044905
76	0.2457174897
77	0.2453716745
78	0.2450718281
79	0.2450282654
80	0.2446382107
81	0.2445959009
82	0.2441319492
83	0.2436364624
84	0.2431461603
85	0.2426609109
86	0.2421614626
87	0.2418864889
88	0.2417496977
89	0.2414088863
90	0.2409076469
91	0.2404933826
92	0.2402471535
93	0.2400650062
94	0.240031653
95	0.2395824557
96	0.2392473079
97	0.2388314161
98	0.2381580785
99	0.2377705795
