iter	Passed	Remaining
0	34	3396
1	67	3286
2	100	3259
3	122	2931
4	137	2604
5	174	2735
6	211	2803
7	225	2591
8	267	2709
9	305	2750
10	317	2571
11	334	2452
12	378	2530
13	438	2692
14	486	2758
15	532	2798
16	539	2635
17	576	2627
18	613	2614
19	649	2596
20	656	2471
21	693	2459
22	731	2449
23	766	2428
24	802	2408
25	841	2396
26	877	2371
27	919	2364
28	925	2264
29	969	2263
30	1013	2255
31	1059	2250
32	1100	2235
33	1138	2209
34	1177	2186
35	1211	2154
36	1249	2127
37	1286	2099
38	1324	2071
39	1362	2043
40	1413	2034
41	1421	1962
42	1463	1939
43	1468	1868
44	1506	1841
45	1546	1815
46	1586	1789
47	1626	1761
48	1665	1733
49	1701	1701
50	1736	1668
51	1772	1635
52	1780	1578
53	1817	1548
54	1853	1516
55	1887	1482
56	1925	1452
57	1970	1426
58	2013	1399
59	2053	1368
60	2097	1340
61	2133	1307
62	2169	1274
63	2204	1239
64	2244	1208
65	2279	1174
66	2316	1140
67	2354	1108
68	2391	1074
69	2400	1028
70	2413	985
71	2449	952
72	2490	921
73	2499	878
74	2534	844
75	2571	811
76	2605	778
77	2641	745
78	2675	711
79	2713	678
80	2753	645
81	2788	612
82	2824	578
83	2861	545
84	2908	513
85	2954	481
86	2997	447
87	3039	414
88	3075	380
89	3082	342
90	3119	308
91	3162	275
92	3206	241
93	3251	207
94	3295	173
95	3304	137
96	3345	103
97	3387	69
98	3435	34
99	3473	0
