iter	Logloss
0	0.6486158756
1	0.6103418583
2	0.5758707213
3	0.5456317266
4	0.516448736
5	0.4905878468
6	0.4752881741
7	0.4553519273
8	0.4366307201
9	0.4202109568
10	0.4058493653
11	0.393060736
12	0.3836617777
13	0.3741046443
14	0.3650560791
15	0.3569701413
16	0.3491859508
17	0.3417292631
18	0.3358042701
19	0.3294806235
20	0.3244962791
21	0.3189747154
22	0.3140155532
23	0.3101295759
24	0.3061227191
25	0.3034225041
26	0.3003644481
27	0.2974430689
28	0.2958016392
29	0.2932220019
30	0.2907331002
31	0.2883689248
32	0.2862680818
33	0.2838885452
34	0.2819328812
35	0.279885212
36	0.2782480776
37	0.2763371868
38	0.2754908118
39	0.2740961291
40	0.2726006993
41	0.2712156479
42	0.2700564622
43	0.2689548399
44	0.2679699201
45	0.2668008577
46	0.2657188941
47	0.2646963073
48	0.2637065564
49	0.2627682109
50	0.2618672444
51	0.2609146073
52	0.2602754487
53	0.2596028184
54	0.2588174613
55	0.2582532313
56	0.2576303237
57	0.2568000003
58	0.2562329469
59	0.2555915865
60	0.2548275149
61	0.2541673815
62	0.25350493
63	0.2528675801
64	0.2522832919
65	0.2521797259
66	0.2519246783
67	0.2511564579
68	0.2505674158
69	0.2498826305
70	0.2492442632
71	0.2487470029
72	0.2482381742
73	0.2477747795
74	0.2471655147
