iter	Passed	Remaining
0	15	1165
1	68	2502
2	122	2936
3	135	2398
4	157	2203
5	172	1980
6	178	1731
7	235	1972
8	294	2160
9	351	2285
10	428	2492
11	495	2600
12	511	2439
13	571	2490
14	631	2524
15	693	2558
16	761	2597
17	824	2611
18	891	2626
19	948	2608
20	1016	2613
21	1089	2623
22	1141	2581
23	1202	2555
24	1261	2522
25	1324	2497
26	1374	2442
27	1427	2396
28	1437	2279
29	1494	2241
30	1555	2207
31	1608	2160
32	1667	2122
33	1723	2077
34	1783	2038
35	1833	1986
36	1890	1941
37	1947	1895
38	1997	1843
39	2044	1788
40	2092	1734
41	2138	1680
42	2192	1631
43	2240	1578
44	2284	1523
45	2329	1468
46	2375	1415
47	2425	1364
48	2484	1318
49	2532	1266
50	2593	1220
51	2658	1176
52	2714	1126
53	2766	1076
54	2822	1026
55	2874	975
56	2924	923
57	2975	872
58	3023	820
59	3073	768
60	3124	717
61	3174	665
62	3218	613
63	3264	561
64	3316	510
65	3323	453
66	3372	402
67	3434	353
68	3492	303
69	3563	254
70	3623	204
71	3680	153
72	3726	102
73	3781	51
74	3834	0
